"Año;Mes;Fecha;Precio;Mineral;Unidad de medida;Numero Índice"
"1997;6;1997M06;1567,55;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);84,5623934574801"
"1997;7;1997M07;1591,99;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);85,8808234253285"
"1997;8;1997M08;1710,58;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);92,2782297218566"
"1997;9;1997M09;1610,6;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);86,8847506635306"
"1997;10;1997M10;1607,86;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);86,7369397751548"
"1997;11;1997M11;1598,99;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);86,2584424832229"
"1997;12;1997M12;1530,51;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);82,5642491854217"
"1998;1;1998M01;1485,79;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);80,1518028612736"
"1998;2;1998M02;1465,56;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);79,0604837839587"
"1998;3;1998M03;1437,7;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);77,557559933539"
"1998;4;1998M04;1418,16;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);76,5034633062167"
"1998;5;1998M05;1364,72;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);73,6206115270915"
"1998;6;1998M06;1307,24;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);70,5198196059815"
"1998;7;1998M07;1309,21;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);70,6260923979889"
"1998;8;1998M08;1310,9;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);70,7172604276806"
"1998;9;1998M09;1342,27;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);72,4095332628444"
"1998;10;1998M10;1304,06;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);70,348272662538"
"1998;11;1998M11;1294,96;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);69,8573678872753"
"1998;12;1998M12;1249,06;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);67,3812657790821"
"1999;1;1999M01;1218,46;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);65,7305310402866"
"1999;2;1999M02;1186,85;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);64,0253112659949"
"1999;3;1999M03;1181,59;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);63,7415575167771"
"1999;4;1999M04;1278,2;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);68,9532399715167"
"1999;5;1999M05;1323,46;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);71,3948169087025"
"1999;6;1999M06;1315,31;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);70,955160434154"
"1999;7;1999M07;1403,76;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);75,7266469585482"
"1999;8;1999M08;1431,32;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);77,2133871350582"
"1999;9;1999M09;1492,48;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);80,5126987894612"
"1999;10;1999M10;1474,41;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);79,5379021642967"
"1999;11;1999M11;1472,76;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);79,448891957793"
"1999;12;1999M12;1554,48;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);83,8573247308116"
"2000;1;2000M01;1680,28;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);90,6436786569708"
"2000;2;2000M02;1670,27;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);90,1036834041819"
"2000;3;2000M03;1577,05;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);85,0748764646225"
"2000;4;2000M04;1457,14;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);78,6062620028915"
"2000;5;2000M05;1466,79;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);79,1268368469888"
"2000;6;2000M06;1506,31;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);81,2587661567011"
"2000;7;2000M07;1563,5;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);84,3439138596983"
"2000;8;2000M08;1527,63;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);82,408885915888"
"2000;9;2000M09;1601,21;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);86,3782016701551"
"2000;10;2000M10;1500,24;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);80,931316487927"
"2000;11;2000M11;1473,86;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);79,5082320954621"
"2000;12;2000M12;1565,41;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);84,4469499169238"
"2001;1;2001M01;1615,65;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);87,1571758410116"
"2001;2;2001M02;1604,36;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);86,5481302462076"
